제목,내용,글_라벨
아 술먹고 울면서 누군가한테 인생한탄 하고싶다,혼자 썩히려니까 곪는다,clean
님 저 135점인가나옴,모위고사,clean
구라 흑화육수들많던데,저포함,clean
목요일,목살의 목요일어때,clean
고기굽자고 5조5억1번째 말함,ㅇㅇ,clean
아 기사준비하는데 기분좋아짐,필기 한달남은줄 알았는데 두달남음,clean
후배들 얘기 듣다보면,"개 좆도 아닌거로 고민하고 있는 경우가 많은데
지금 내가 고민하는것도 어른들이 보면 개 좆도 아닌거겠지..",clean
만갤이망햇어요,,clean
금요일 저녁에 헬스장을 누가 감ㅋㅋ,ㅋㅋ,clean
B급인생,,clean
가우르구라 << 쫌 짜치는데,,LABEL_1
아잠이안와,배고파서그런가,clean
고기 구워먹고싶긴하다,,clean
에인 노 마운틴 하이~ 이넢~,,clean
나 위로해줘,힘들어,clean
그럼내일,"엉생

네",clean
교촌먹자고,네,clean
놀장께?,네,clean
응아묵땨,,clean
놀자,치킨먹자,LABEL_1
저 산맥은 말도없이,5천년을 살앗네,clean
랩스 랩스 랩스 베타대학생,저학점 졸업하고 백수되지요,clean
오케이 공기업 올인할게요,방학때 전기기사 한국사 딸게요,clean
랩스님 힘내세요,합격률6.9퍼래요,clean
단백질 보충제 뭐가 좋음,추천해줘,clean
쾌 도 난 무,,clean
화상면접때,오빠는끝피규어보이면 어케됨?,clean
진짜 피시방 가는거 오랜만이네,내가 원해서 가는 피시방,clean
응가똥스토리 흥햇대요,똥뿌직스토리 신직업,clean
하도 굴 떡밥을 많이보니까,굴 존나 땡기네,clean
나는 낭~만 고~양이~,ok,clean
성대역 너머 살기 ㄱㅊ나,공학관까지 너무멀거같은데,LABEL_1
ㅈ됫다,우산없이 식당에갇힘,clean
님 접이식이 먼지암?,일본어로,clean
요즘 카나데가좋다,사랑인걸까,clean
도란의 검,,clean
똥싸,네,clean
야~,호,clean
엘나스노래들으면서,자야지,clean
저녁2인분먹엇더니 배터지겟어,네,clean
극장판이래,네,clean
애니화됫어요,기껏 졸업시켜놓고 재취직함,clean
놀장게,네,LABEL_8
스벌롬아,네,clean
제 최애 실베데뷔함,"https://m.dcinside.com/board/dcbest/337185
 일본의 미쳐버린 신용카드 근황.jpg - 실시간 베스트 갤러리
니가 쓴 카드 포인트 연예인한테 감 18%짜리 리볼링 강제가입 금감원 없는 동네는 카드도 레전드누ㅋㅋㅋㅋ 곧 현카가 벤치마킹 해가는거 아니겠지?
m.dcinside.com",clean
신직업 흠스럽네,흠,clean
大木 읽는법맞춰보세요,개억지아님?,clean
님아,그게임이나 할까싶음,clean
2급단어 벽느낌,"첫쪽지시험 거의다틀림

네",clean
찍먹하고 종강하고,네,clean
다음주 poe확장판출시,네,clean
오늘 거의 토요일급 휴식이었는데,2일이나 더 쉬어야한다고?,clean
ㅋㅋ내란견 부들부들,트럼프랑 전화햇쥬,clean
심심해,네,clean
트럼프 테슬라 판다는데,"구라핑인건가
너무 쪼잔한데",clean
트럼프 일론 싸웟대,삐졋대,clean
놀자이자이자슥아,네,clean
성대 에타에 글 올려주세요,"1
이미지 순서 ON

2



이 글이 신고삭제 당했습니다. 조심하세요",LABEL_1
놀실분,네,clean
럽공식 쇼츠로쌀먹하네,아이스크림쇼츠 오조오억개 도배해서 쌀먹중,clean
이재명 만세,재매이햄덕에 국장 150넘게먹음,clean
성균관 갤러리는 이재명 대통령님을 환영합니다,심기에 거스르지 않겠습니다.,LABEL_1
왤케 표차이적음?,어의없네,clean
여기 고닉들 다 드럼통행이라며,ㄹㅇㅋㅋ,clean
찢황만세,,LABEL_9
저 한 10분,네,clean
어디,네,clean
6시?,네?,clean
2판4판,,clean
오늘 투표하고 고기?,아님말고,clean
잘때듣는노래,https://www.youtube.com/watch?v=Hd-v9Qm2gow,clean
님아 다시,"https://youtu.be/I74xWNxq1HY

104기말고 103기버전으로 들어보세요",clean
코노 인기순위에 루비쨩하잇 잇네,ㅈ같네,clean
열심히 놀아라,"열심히 살았는데도 취업이 쉽지가않다
그니까 걍 놀아라",clean
아첵스에요첵스,첵스초코에요,clean
재강이형 결혼함?,"취업은 어떻게 했던데
결혼도함?",clean
우울은 맨날 가능하니까,행복할땐 행복만 하자,clean
연기안나는거,윤 연기안,clean
3트,엉생,LABEL_9
맛있는거드실분 2트,네,clean
맛잇는거드실분,네,clean
누구뽑을까,죄수의딜레마급 난제,clean
찌르지 말아주세요 도련님,,clean
한반도의 지배자를 환영합니다,,clean
디도지하로와라,키스 ㄱㅁ,clean
조울증걸림,네,clean
7억잇으면 탕핑가능,7억주삼,clean
우울증 걸림,ㅇㅇ,LABEL_9
미미미미미미미미미치고~싶어~,,clean
코코코코코코콘토-자이,님도중독됫죠,clean
들으세요,"https://www.youtube.com/watch?v=iB-rMOtfwq4
독후감제출",clean
랩스근육만지고싶어라,네,clean
마음이 공허해,"그냥 누가 내 길을 정해주면 수긍하고 살아갈텐데
번뇌하는 길을 정해준거면 너무 고통스럽군",LABEL_1
똥뿌직,네,clean
저기갤 개웃기네 ㅋㅋ,젖탱이 부비적대는걸 꾹꾹이라 부르는구나,LABEL_1
아하,,LABEL_9
님아,10분늦음,clean
왜 내집앞에,역이 없는거임,clean
토론재밋네,네,clean
가솔린앤로지스 여기어때요,츠케멘,clean
근처에서 머먹으면되지,네,clean
몇시,어디,clean
지듣노,https://www.youtube.com/watch?v=uQ-OH9Pek88,clean
놀,고싶어라,clean
방본만,용이살던마을,clean
이거학교맞음?,,clean
짱깨 << 그냥 신임,그냥 천재,clean
가자고말자고,가자지구,clean
님갈거임?,플레이엑스포?,clean
놀자,ㅇㅇ,clean
사람으로살기 1일차,1치취침10시기상,clean
마짱뜨자,ㅇㅇ,clean
우두버 추천좀요,버두버  제외 ㅇㅇ,clean
아배고파,ㅁㅊ,clean
학교에서 단체 메일 받은거 받는사람에,"학교메일이 러브라이브인사람있네

설마",LABEL_1
방명록에 표식생김 ㄷㄷ,무서웡,clean
여우수인학교를 다니고,내 인생이 달라졌다,LABEL_1
대위님,떠러지심,clean
나 < 인생망함,살려줘,clean
죄수전생 << 재미뗘,재미뗘재미뗘,clean
나 여론조사기관 취업할까,"https://m.dcinside.com/board/loan_new1/13193828
 토론회 기념 잘한 사람 한명 뽑는 사람 선착순 세명 1콩씩 - 대출 갤러리
띱
m.dcinside.com


여론조사 이렇게하는거아닌가요",clean
토론보는데,"https://youtu.be/pqxmY3y1dJ8

이거 원툴인 사람이 있는데요
양자택일 극단적이야~",clean
돈카츠먹는겸가요,,clean
검색해서 넘어오네,잘못했어요,clean
라면먹는겸가요,,clean
qwer,가렌콤보,clean
사울구경갈사람,아님말고,clean
어떻게 캐릭터 이름이,귤복복 ㅋㅋㅋ,clean
외팔이햄 나름 열심히 하네,갑자기 호감됨,clean
100만넘는 유튜바도 몸또걸리노 ㅅㅂㅋㅋㅋ,평소에 인터넷도 좀 하고 그래야 몸또같은거 안걸리지 ㅉㅉ,LABEL_1
애플워치 기능이뭐임,왜 차는거임,clean
요즘듣는거,?si=4NLoDaLxcOMBtufZ,clean
요새 스우 << 호감이네,,clean
축제,축제아님,clean
준스기 무슨 부산 유세하면서 야구장 타령이노,똥푸산은 공기업 빼면 취직할 회사가 없다고,clean
"폐토너, 카드 << 이거 실제로 오는거임??",궁금스,clean
어질어질하네,,clean
놀놀,자자,clean
짐승같이 살아야겠다,짐승합격,clean
이제 사람같이 살아야지,인생을 너무 낭비했다,clean
성우도 다 무쌩김,네,clean
놀자이자이자슥아,네,clean
놀장께?,네,clean
새로 올라온 뮤비 보는데,"그림 한장가지고 끝까지 우려먹네
원래그런거임?",clean
아아,심심하도다,LABEL_9
통신학교 아이돌은머야,무리수오지네,clean
닫는노래,https://www.youtube.com/watch?v=PrkZ-FcUW-k,clean
그냥 무난한데,2명이서 100개 질문하는 그사람들맞죠?,clean
근책하실분,네,clean
로스트소드 << 이거 괜찮은거 같은데,방치형인데 가슴이 큼,clean
안씻고 하루종일 게임하는 사람에서,하루종일 게임하다가 씻고 다시 게임하는 사람됨,clean
내일 6세대나옴,네,clean
게이밍 태블릿살건데,모바일 게임을 안함,clean
놀자,제발놀아줘,clean
줘깥네,ㅇㅇ,clean
피프티피프티 << 3명 도망갔는데도 타격 없음 ㅋㅋ,어차피 누가 누군지 모른다는거임,clean
치킨먹을까요,네ㅐ,clean
은근 재밌는 똥만화,시간정지용사,clean
카나데 후지산 富地山라고 썻네,,clean
놀자고?,뭐허고,clean
지듣노,"https://youtube.com/watch?v=IiCKMyNuFYc
 【オリジナル】海底↓トランスミッション【火閻まどか/めがらいと】
声を大にして言いますが、ワニ専用ドライバーになります！！海底↓トランスミッションVocal：火閻まどかMusic：火閻まどかLyric：火閻まどかIllust：めがらいとMovie：めがらいとMix：めがらいとProduce ：めがらいとーーーーーーーーーーーーーー真夜中にぱっと おやすみのぽっぷす海月の傘は 雨...
youtube.com
운듣노",clean
놀자,자놀,clean
학원마스 큰거온다,https://www.youtube.com/watch?v=SPXHpau0jJI,clean
아니,디시광고 애드가드로 안막혀,clean
와츄고나두 << 이거뭐냐,https://www.youtube.com/watch?v=7hxVVU4zGuo,clean
짹쮸,네,LABEL_9
대댓글 ㄴㄴ << 이거 이제 안써도 되네,네,clean
얼리버드기상,같이가,LABEL_8
배고파죽겟,다,clean
가?,나?,LABEL_9
단 오늘은 제외,점심을너무늦게먹음,clean
랩가가,랩스가면간다는뜻,clean
오늘갈까,아님말고,clean
언제가요 그래서,네,clean
하꼬 버튜버를 보고싶다,그런 밤이네요,clean
근데 부숯갈 너무비싸,네,clean
복귀완,한달만 참으면 종강 ㅅㅅ,clean
와 오랜만에 햄부거먹엇는데,패티의 기름진 맛 정신나가겟네,clean
어우졸려,,clean
놀자놀자놀자놀자놀자,놀자놀자놀자놀자,LABEL_1
놀.,자.,clean
Gpt로 프로젝트과제하는데 gpt는 그냥 신이구나,사람은 병신이구나,clean
아 부현숯불갈비 자취방 밑에있는 거기구나,지나가면서봄,clean
컨설턴트 갤러리 신설했습니다,많이 찾아와주세요!,clean
그럼 내일 엉생가요,네,clean
부숯갈 가자고 2번말햇다,ㅇㅇ,clean
아.,,clean
해외주식 250제한 줘깥네,개같네,clean
ㅋㅋㅋㅋㅋ어디잇는학교임,공대 한 >>>>>> 서성,clean
y704,사줘,clean
작혼 << 이거해볼사람,모집,clean
에반데,뭔 라멘집이 부대찌개면을팜?,clean
부현숯불갈비 갈,사람구함,clean
오늘저녁?,닭라멘?,clean
와 진자 어질어질하네,어디 구금되어야하는거아님?,clean
후즈가 갔어..,..,clean
님아 거기 영업하는데이제,갈까?,clean
놀자,go,clean
힘든 인생,끝이 안보이는구만,clean
아오기리 고교 << 이거 약간,틀어놓을만하네,clean
버튜버 졸업?,"기다리면 되잖아
기다리면 다시 오잖아",clean
후즈가간대..,,clean
실종사건!,빨래돌렷는데 양말1짝 사라짐,clean
별의커비 울트라슈퍼디럭스 다시하고싶다,플레이영상보면서 추억덜덜루하는중,clean
오블리비언 << 리마나왔네,쉰내나서 안했는데 존나 깔끔해졌노,clean
놀자요,네,clean
아야어여,우유으이,clean
쯔아아아아아아아아앗!!!!!!!!!,너때문이야!!!!!!!!!!!!!!!!!!!!!!!!!!!,clean
악력으로 똥부수기,콰직스,clean
요번럽라 노래는 좋은거같은데,뮤즈다음급,clean
내일부터진짜공부함,비상계엄을 선포합니다,clean
리제로 최신화 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,알 vs 에밀리아,clean
민주당경선이 의외로,wwe가 아니더라,clean
외로운 밤이면 밤마다,혼자서 게임하기 싫어,clean
라쿠카라싸 라쿠카라싸,사랑스런그이름,clean
어우 배불러,앙 배불띠,clean
아무것도 이해할 수 없어 << 이거 히트네,이세계가고싶군,clean
와 코토네,카카시급카피능력,clean
와 개구릿대,와우,clean
미코 브알챗하네,요,clean
인생의 이해자를 만나는건 축복이다,나는 영원히 못만날것,clean
랩스님,문어배게 차이큼?,LABEL_1
닫는노래,https://www.youtube.com/watch?v=SmlD6bmTRqQ,clean
뮤즈 아닌데 좋은노래,https://www.youtube.com/watch?v=IHSUgM4rVQg,clean
아니 오늘 랄투브,애니비아 트페인데요,clean
번아웃이 온건가,"그냥 환경도 힘들고
사람도 힘들고
다 귀찮고
휴식처가 없네",LABEL_1
독후감 제출하세요,원칩챌린지 독후감 내세요,clean
이거네,"https://youtu.be/Tu4CMq4uhWM?si=v8E-cIo7BY6CTIKP
 ONLY UP! 하다가 떨어지면 건강해지는 방송【라이스 우메루 /頼州うめる】
#vtuber #onlyup #頼州うめる #ppp https://www.youtube.com/watch?v=qnDJ_YzfX-g&t=3185s【実写ワイプあり】落下で健康器具！『ONLY UP！』に挑戦！【頼州うめる / PinkPunkPro】頼州うめる https://www.youtube...
youtu.be
https://youtu.be/z0W3NwgiiqY?si=OPp_NSkcjs6vJ9vn
 잘 보면 보입니다(2)【라이스 우메루 /頼州うめる】
#vtuber #頼州うめる #ppp https://www.youtube.com/watch?v=FnyGlN46vpA&t=2859s【実写】不正解で上昇っ⤴『股縄クイズ』にいどめ！【頼州うめる / PinkPunkPro】頼州うめる https://www.youtube.com/@UC61AvqhGo...
youtu.be
이런거",clean
다먹고나옴,배부르다,clean
나간다?,ㅇㅇ,LABEL_9
가자,https://www.youtube.com/watch?v=gz9BRl7DVSM,clean
감맘,빨리결정해줘,clean
7가가,"7시에가면감

이라는뜻",clean
그래서오늘감?,오늘루틴정해야함,clean
내가 아는 아이스크림은 이건데,https://www.youtube.com/watch?v=qwyPaQ2-aMM,clean
아이스크림 선거송되면 웃기겟노,상상만해도 빡친다,clean
그럼내일가나요?,단식1일차,clean
구라졸업한대요,버튜버는끝,clean
안가면안감,네,clean
주식 배당금들어왓다고,네,clean
명진갈 먹고시푼사람,쏴리질럿,clean
랩스말이맞았네,제국편줘깥네,clean
